"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
calcinha-biquini-em-microfibra-corte-a-fio-valisere-chocolate-44214;"Calcinha Biquíni em Microfibra Corte a Fio Valisere Chocolate 44214";"Calcinhas > Básicas, Calcinhas > Sem Costura, Calcinhas > A Melhor Calcinha do Mundo";Cor;Chocolate;Tamanho;P;;;49.00;39.00;0.05;5.00;15.00;15.00;8;44214CHCP;7891475293249;SIM;NÃO;"<h3><strong>A Melhor Calcinha do Mundo &ndash; Conforto, Tecnologia e Ajuste Perfeito!</strong></h3>
<p>Se voc&ecirc; busca uma lingerie que ofere&ccedil;a <strong>conforto absoluto</strong>, <strong>ajuste perfeito</strong> e <strong>discri&ccedil;&atilde;o total</strong>, essa &eacute; a escolha certa! A <strong>Calcinha Biqu&iacute;ni em Microfibra Corte a Fio</strong> foi desenvolvida para se adaptar ao corpo sem marcar sob a roupa, garantindo leveza e liberdade em qualquer ocasi&atilde;o.</p>
<h4><strong>Por que escolher ""A Melhor Calcinha do Mundo""?</strong></h4>
<p><strong>CONFORTO EXTREMO:</strong> Tecnologia de tecido respir&aacute;vel que mant&eacute;m o frescor e o bem-estar ao longo do dia.<br /><strong>FIT PERFEITO:</strong> Corte a fio e costuras estrat&eacute;gicas que proporcionam um ajuste impec&aacute;vel, sem apertar ou incomodar.<br /><strong>IDEAL PARA O DIA A DIA:</strong> Perfeita para qualquer momento&mdash;trabalho, lazer ou atividades f&iacute;sicas&mdash;proporcionando m&aacute;ximo conforto onde voc&ecirc; mais precisa.<br /><strong>DESIGN INVIS&Iacute;VEL:</strong> Laterais estreitas e acabamento sem costuras, garantindo que a pe&ccedil;a n&atilde;o marque sob a roupa.<br /><strong>PRE&Ccedil;O ACESS&Iacute;VEL:</strong> Qualidade premium sem comprometer o seu or&ccedil;amento.</p>
<p><strong>Caracter&iacute;sticas:</strong></p>
<ul>
<li>Modelagem biqu&iacute;ni com cobertura m&eacute;dia no bumbum.</li>
<li>Confeccionada em <strong>microfibra premium</strong>, que garante toque macio e ajuste confort&aacute;vel.</li>
<li><strong>Corte a fio</strong>, para um caimento discreto e elegante.</li>
<li><strong>Forro 100% algod&atilde;o</strong>, garantindo frescor e higiene.</li>
</ul>
<p><strong>Composi&ccedil;&atilde;o:</strong></p>
<ul>
<li><strong>Microfibra Pelle:</strong> 79% Poliamida | 21% Elastano</li>
<li><strong>Forro:</strong> 100% Algod&atilde;o</li>
</ul>
<p><strong>Tabela de Medidas &ndash; Cintura e Quadril</strong></p>
<p>Para garantir o ajuste perfeito, confira as medidas recomendadas:</p>
<ul>
<li><strong>Tamanho P:</strong> Cintura de 62 a 70 cm | Quadril de 87 a 96 cm</li>
<li><strong>Tamanho M:</strong> Cintura de 70 a 78 cm | Quadril de 96 a 105 cm</li>
<li><strong>Tamanho G:</strong> Cintura de 78 a 88 cm | Quadril de 105 a 115 cm</li>
<li><strong>Tamanho GG:</strong> Cintura de 88 a 98 cm | Quadril de 115 a 125 cm</li>
</ul>
<p><strong>Descubra o verdadeiro conforto e sinta a diferen&ccedil;a com ""A Melhor Calcinha do Mundo""!</strong>&nbsp;</p>";;"A Melhor Calcinha do Mundo";"Conforto extremo, ajuste perfeito e zero marcação. A calcinha que veste como segunda pele e acompanha seu dia inteiro.";Valisere;SIM;44214CHCP;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-chocolate-44214;;;Cor;Chocolate;Tamanho;M;;;49.00;39.00;0.05;5.00;15.00;15.00;24;44214CHCM;7891475293256;;;;;;;;;44214CHCM;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-chocolate-44214;;;Cor;Chocolate;Tamanho;G;;;49.00;39.00;0.05;5.00;15.00;15.00;47;44214CHCG;7891475293294;;;;;;;;;44214CHCG;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-chocolate-44214;;;Cor;Chocolate;Tamanho;GG;;;49.00;39.00;0.05;5.00;15.00;15.00;32;44214CHCGG;7891475293300;;;;;;;;;44214CHCGG;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-preto-44214;"Calcinha Biquíni em Microfibra Corte a Fio Valisere Preto 44214";"Calcinhas > Básicas, Calcinhas > Sem Costura, Calcinhas > A Melhor Calcinha do Mundo";Cor;Preto;Tamanho;P;;;49.00;39.00;0.05;5.00;15.00;15.00;3;44214PTOP;7891475293317;SIM;NÃO;"<h3><strong>A Melhor Calcinha do Mundo &ndash; Conforto, Tecnologia e Ajuste Perfeito!</strong></h3>
<p>Se voc&ecirc; busca uma lingerie que ofere&ccedil;a <strong>conforto absoluto</strong>, <strong>ajuste perfeito</strong> e <strong>discri&ccedil;&atilde;o total</strong>, essa &eacute; a escolha certa! A <strong>Calcinha Biqu&iacute;ni em Microfibra Corte a Fio</strong> foi desenvolvida para se adaptar ao corpo sem marcar sob a roupa, garantindo leveza e liberdade em qualquer ocasi&atilde;o.</p>
<h4><strong>Por que escolher ""A Melhor Calcinha do Mundo""?</strong></h4>
<p><strong>CONFORTO EXTREMO:</strong> Tecnologia de tecido respir&aacute;vel que mant&eacute;m o frescor e o bem-estar ao longo do dia.<br /><strong>FIT PERFEITO:</strong> Corte a fio e costuras estrat&eacute;gicas que proporcionam um ajuste impec&aacute;vel, sem apertar ou incomodar.<br /><strong>IDEAL PARA O DIA A DIA:</strong> Perfeita para qualquer momento&mdash;trabalho, lazer ou atividades f&iacute;sicas&mdash;proporcionando m&aacute;ximo conforto onde voc&ecirc; mais precisa.<br /><strong>DESIGN INVIS&Iacute;VEL:</strong> Laterais estreitas e acabamento sem costuras, garantindo que a pe&ccedil;a n&atilde;o marque sob a roupa.<br /><strong>PRE&Ccedil;O ACESS&Iacute;VEL:</strong> Qualidade premium sem comprometer o seu or&ccedil;amento.</p>
<p><strong>Caracter&iacute;sticas:</strong></p>
<ul>
<li>Modelagem biqu&iacute;ni com cobertura m&eacute;dia no bumbum.</li>
<li>Confeccionada em <strong>microfibra premium</strong>, que garante toque macio e ajuste confort&aacute;vel.</li>
<li><strong>Corte a fio</strong>, para um caimento discreto e elegante.</li>
<li><strong>Forro 100% algod&atilde;o</strong>, garantindo frescor e higiene.</li>
</ul>
<p><strong>Composi&ccedil;&atilde;o:</strong></p>
<ul>
<li><strong>Microfibra Pelle:</strong> 79% Poliamida | 21% Elastano</li>
<li><strong>Forro:</strong> 100% Algod&atilde;o</li>
</ul>
<p><strong>Tabela de Medidas &ndash; Cintura e Quadril</strong></p>
<p>Para garantir o ajuste perfeito, confira as medidas recomendadas:</p>
<ul>
<li><strong>Tamanho P:</strong> Cintura de 62 a 70 cm | Quadril de 87 a 96 cm</li>
<li><strong>Tamanho M:</strong> Cintura de 70 a 78 cm | Quadril de 96 a 105 cm</li>
<li><strong>Tamanho G:</strong> Cintura de 78 a 88 cm | Quadril de 105 a 115 cm</li>
<li><strong>Tamanho GG:</strong> Cintura de 88 a 98 cm | Quadril de 115 a 125 cm</li>
</ul>
<p><strong>Descubra o verdadeiro conforto e sinta a diferen&ccedil;a com ""A Melhor Calcinha do Mundo""!</strong>&nbsp;</p>";;"A Melhor Calcinha do Mundo";"Conforto extremo, ajuste perfeito e zero marcação. A calcinha que veste como segunda pele e acompanha seu dia inteiro.";Valisere;SIM;44214PTOP;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-preto-44214;;;Cor;Preto;Tamanho;M;;;49.00;39.00;0.05;5.00;15.00;15.00;10;44214PTOM;7891475293324;;;;;;;;;44214PTOM;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-preto-44214;;;Cor;Preto;Tamanho;G;;;49.00;39.00;0.05;5.00;15.00;15.00;23;44214PTOG;7891475293331;;;;;;;;;44214PTOG;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-preto-44214;;;Cor;Preto;Tamanho;GG;;;49.00;39.00;0.05;5.00;15.00;15.00;14;44214PTOGG;7891475293348;;;;;;;;;44214PTOGG;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-branco-44214;"Calcinha Biquíni em Microfibra Corte a Fio Valisere Branco 44214";"Calcinhas > Básicas, Calcinhas > Sem Costura, Calcinhas > A Melhor Calcinha do Mundo";Cor;Branco;Tamanho;P;;;49.00;39.00;0.05;5.00;15.00;15.00;2;44214BCOP;7891475293768;SIM;NÃO;"<h3><strong>A Melhor Calcinha do Mundo &ndash; Conforto, Tecnologia e Ajuste Perfeito!</strong></h3>
<p style=""font-size: 15px; font-weight: 400;"">Se voc&ecirc; busca uma lingerie que ofere&ccedil;a&nbsp;<strong>conforto absoluto</strong>,&nbsp;<strong>ajuste perfeito</strong>&nbsp;e&nbsp;<strong>discri&ccedil;&atilde;o total</strong>, essa &eacute; a escolha certa! A&nbsp;<strong>Calcinha Biqu&iacute;ni em Microfibra Corte a Fio</strong>&nbsp;foi desenvolvida para se adaptar ao corpo sem marcar sob a roupa, garantindo leveza e liberdade em qualquer ocasi&atilde;o.</p>
<h4><strong>Por que escolher ""A Melhor Calcinha do Mundo""?</strong></h4>
<p style=""font-size: 15px; font-weight: 400;""><strong>CONFORTO EXTREMO:</strong>&nbsp;Tecnologia de tecido respir&aacute;vel que mant&eacute;m o frescor e o bem-estar ao longo do dia.<br /><strong>FIT PERFEITO:</strong>&nbsp;Corte a fio e costuras estrat&eacute;gicas que proporcionam um ajuste impec&aacute;vel, sem apertar ou incomodar.<br /><strong>IDEAL PARA O DIA A DIA:</strong>&nbsp;Perfeita para qualquer momento&mdash;trabalho, lazer ou atividades f&iacute;sicas&mdash;proporcionando m&aacute;ximo conforto onde voc&ecirc; mais precisa.<br /><strong>DESIGN INVIS&Iacute;VEL:</strong>&nbsp;Laterais estreitas e acabamento sem costuras, garantindo que a pe&ccedil;a n&atilde;o marque sob a roupa.<br /><strong>PRE&Ccedil;O ACESS&Iacute;VEL:</strong>&nbsp;Qualidade premium sem comprometer o seu or&ccedil;amento.</p>
<p style=""font-size: 15px; font-weight: 400;""><strong>Caracter&iacute;sticas:</strong></p>
<ul style=""font-size: 15px; font-weight: 400;"">
<li>Modelagem biqu&iacute;ni com cobertura m&eacute;dia no bumbum.</li>
<li>Confeccionada em&nbsp;<strong>microfibra premium</strong>, que garante toque macio e ajuste confort&aacute;vel.</li>
<li><strong>Corte a fio</strong>, para um caimento discreto e elegante.</li>
<li><strong>Forro 100% algod&atilde;o</strong>, garantindo frescor e higiene.</li>
</ul>
<p style=""font-size: 15px; font-weight: 400;""><strong>Composi&ccedil;&atilde;o:</strong></p>
<ul style=""font-size: 15px; font-weight: 400;"">
<li><strong>Microfibra Pelle:</strong>&nbsp;79% Poliamida | 21% Elastano</li>
<li><strong>Forro:</strong>&nbsp;100% Algod&atilde;o</li>
</ul>
<p style=""font-size: 15px; font-weight: 400;""><strong>Tabela de Medidas &ndash; Cintura e Quadril</strong></p>
<p style=""font-size: 15px; font-weight: 400;"">Para garantir o ajuste perfeito, confira as medidas recomendadas:</p>
<ul style=""font-size: 15px; font-weight: 400;"">
<li><strong>Tamanho P:</strong>&nbsp;Cintura de 62 a 70 cm | Quadril de 87 a 96 cm</li>
<li><strong>Tamanho M:</strong>&nbsp;Cintura de 70 a 78 cm | Quadril de 96 a 105 cm</li>
<li><strong>Tamanho G:</strong>&nbsp;Cintura de 78 a 88 cm | Quadril de 105 a 115 cm</li>
<li><strong>Tamanho GG:</strong>&nbsp;Cintura de 88 a 98 cm | Quadril de 115 a 125 cm</li>
</ul>
<p style=""font-size: 15px; font-weight: 400;""><strong>Descubra o verdadeiro conforto e sinta a diferen&ccedil;a com ""A Melhor Calcinha do Mundo""!</strong>&nbsp;</p>";;"A Melhor Calcinha do Mundo";"Conforto extremo, ajuste perfeito e zero marcação. A calcinha que veste como segunda pele e acompanha seu dia inteiro.";Valisere;SIM;44214BCOP;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-branco-44214;;;Cor;Branco;Tamanho;M;;;49.00;39.00;0.05;5.00;15.00;15.00;2;44214BCOM;7891475293782;;;;;;;;;44214BCOM;Feminino;Adulto;9.99
