,,,,,,
Etapa do Funil,Tempo de Disparo após Inatividade,Nome do Template da Mensagem,Categoria da Mensagem,Template da Mensagem,Resposta Automática,Status
Novo Lead - Aguardando Resposta (IA),10 minutos,novo_lead_10min,Utility,"""Ei, Boss! 🚀 Vi que você recebeu a mensagem, mas ainda não respondeu. Quer tirar alguma dúvida antes de começarmos?""",Sim,aprovado
Novo Lead - Aguardando Resposta (IA),30 minutos,novo_lead_30min,Utility,"""Boss, sei que a vida é corrida e às vezes a gente vê uma mensagem e acaba esquecendo de responder. Mas eu realmente quero te ajudar a vender mais pelo Instagram! 💡 Podemos falar rapidinho?""",Sim,aprovado
Novo Lead - Aguardando Resposta (IA),1 hora,novo_lead_1h,Utility,"""Boss, só lembrando que posso te ajudar com um planejamento de conteúdo certeiro. Quer ver como funciona?""",Sim,aprovado
Novo Lead - Aguardando Resposta (IA),24 horas,novo_lead_24h,Utility,"Ei, Boss! Vi que você ainda não respondeu... Tá tudo certo por aí? Se tiver dúvidas, me avisa! Estou aqui para te ajudar a fazer seu Instagram vender mais. ",Sim,aprovado
Novo Lead - Aguardando Resposta (IA),48 horas,novo_lead_48h,Utility,"""Boss, se você ainda quiser saber como vender mais pelo Instagram, me avisa! Estamos ajudando várias lojistas a sair do zero ou começar a vender todos os dias. Quer ver como?""",Sim,aprovado
Lead Engajado - Em Qualificação (IA),10 minutos,qualificacao_10min,Utility,"""Boss, sua resposta é muito importante para que eu possa te mostrar o melhor caminho! Podemos continuar?""",Sim,aprovado
Lead Engajado - Em Qualificação (IA),1 hora,qualificacao_1h,Utility,"""Boss, muitas lojistas estavam no seu lugar há pouco tempo e hoje já vendem todos os dias! O segredo está em um planejamento certo na rede social! Quer ver um exemplo?""",Sim,aprovado
Lead Engajado - Em Qualificação (IA),24 horas,qualificacao_24h,Utility,"""Boss, diz a lenda que quem ignora essa mensagem continua sem saber o que postar… 😅 Mas eu tô aqui pra garantir que isso não aconteça com você! Quer saber como?""",Sim,aprovado
Lead com Dúvidas (IA),20 minutos,duvida_20min,Utility,"""Boss, percebi que você tem algumas dúvidas... Mas me conta, o que exatamente está te segurando? É medo de não saber aplicar? De não conseguir ver resultados? Muitas alunas começaram assim, mas logo perceberam o quanto estavam perdendo sem uma estratégia certa! Quer entender como elas superaram isso?""",Sim,aprovado
Lead com Dúvidas (IA),1 hora,duvida_1h,Utility,"""Boss, eu sei que dar o primeiro passo pode parecer difícil, mas já imaginou quanto dinheiro você pode estar deixando na mesa todos os meses sem um planejamento de conteúdo? Cada dia sem estratégia é uma oportunidade perdida. Vamos mudar isso agora?""",Sim,aprovado
