,,,,,,
Etapa do Funil,Tempo de Disparo após Inatividade,Nome do Template da Mensagem,Categoria da Mensagem,Template da Mensagem,Resposta Automática,Status
New - Aguardando Resposta (IA),10 minutos,novo_lead_10min,Utility,"""Ei, Boss! 🚀 Vi que você recebeu a mensagem, mas ainda não respondeu. Quer tirar alguma dúvida antes de começarmos?""",Sim,Criado
New - Aguardando Resposta (IA),30 minutos,novo_lead_30min,Utility,"Oi, {{1}}! Percebi que seu atendimento ainda está em andamento. Sei que a rotina pode ser corrida, então estou por aqui caso preciso retomar a conversa ou tirar alguma dúvida!",Sim,Criado
New - Aguardando Resposta (IA),1 hora,novo_lead_1h,Utility,"Olá, {{1}}! Você iniciou um contato conosco recentemente e queremos garantir que você receba todas as informações possíveis. Caso preciso de suporte ou tenha dúvidas sobre seu atendimento, estou por aqui.",Sim,Criado
New - Aguardando Resposta (IA),24 horas,novo_lead_24h,Utility,"Ei, Boss! Vi que você ainda não respondeu... Tá tudo certo por aí? Se tiver dúvidas, me avisa! Estou aqui para te ajudar a fazer seu Instagram vender mais. ",Sim,Criado
New - Aguardando Resposta (IA),48 horas,novo_lead_48h,Utility,"""Oi, {{1}}! Notamos que sua conversa conosco ainda está aberta. Caso precise de mais informações, você pode acessar os detalhes aqui: https://bit.ly/conteudoparalojas_inteligente . Se precisar de suporte, estamos à disposição",Sim,Criado
Conexão -Lead Engajado - Em Qualificação (IA),10 minutos,qualificacao_10min,Utility,"Oi, {{1}}! Vi que você iniciou um processo conosco, mas ainda não concluímos sua qualificação. Caso preciso de mais informações ou queira continuar, estou à disposição para te ajudar!",Sim,Criado
Conexão -Lead Engajado - Em Qualificação (IA),1 hora,qualificacao_1h,Utility,"Boss! Para te ajudar com mais informações, preparamos um vídeo explicativo sobre como funciona. Você pode assistir aqui: https://www.youtube.com/watch?v=XXcaQZY0udI&t=1s . Se precisar de suporte, estou à disposição!
",Sim,Criado
Conexão -Lead Engajado - Em Qualificação (IA),24 horas,qualificacao_24h,Utility,"Boss, você iniciou um processo conosco, mas ainda não concluímos sua qualificação. Diz a lenda que quem ignora essa mensagem continua sem saber o que postar… 😅 Mas eu tô aqui pra garantir que isso não aconteça com você, estou à disposição para te ajudar!
",Sim,Criado
Qualificado IA,20 minutos,qualificado_20mn,marketing,"🔔 Toc, toc, {{1}}! Não quero parecer insistente, mas a hora é agora! Sua oportunidade está aberta e não quero que você perca. Vamos fechar isso hoje?",sim,Criado
Qualificado IA,1 horas,qualificado_1h,marketing,"{{1}}, quem avisa amiga é! Outras pessoas já estão aproveitando essa chance e colhendo resultados. Será que faz sentido ficar de fora? Se precisar de mais informações, veja os detalhes aqui: https://bit.ly/conteudoparalojas_inteligente.",sim,Criado
Qualificado IA,1 dias,qualificado_1d,marketing,"Boss, imagina o custo da sua insegurança… daqui a 30 dias, você pode estar no mesmo lugar, enquanto outros já terão dado o primeiro passo para vender mais. Quer mesmo correr esse risco?",Sim,Criado
Qualificado IA,2 dia,qualificado_2d,marketing,"🔥 Última chamada, {{1}}! Essa é sua última chance de garantir os benefícios e bônus exclusivos. Depois que fechar, acabou! Se quiser saber mais, acesse: https://bit.ly/conteudoparalojas_inteligente. Vamos finalizar?",Sim,Criado
Fechamento (IA),10 minutos,fechamento_10min,marketing,"{{1}}, vi que você recebeu a proposta. Se precisar revisar ou tirar dúvidas antes de fechar, estou aqui para te ajudar! Podemos finalizar isso juntos agora?",Sim,Criado
Fechamento (IA),1 hora,fechamento_1h,marketing,"""Boss, eu sei que dar o primeiro passo pode parecer difícil, mas já imaginou quanto dinheiro você pode estar deixando na mesa todos os meses sem um planejamento de conteúdo? Cada dia sem estratégia é uma oportunidade perdida. Vamos mudar isso agora?""",Sim,Criado
